"","PROBEID","t","p","p_adjust","SYMBOL"
"1993","202808_at",-1.24829023901409,0.217112217567121,0.391003389032996,"WBP1L"
"2411","203657_s_at",-1.24845881581503,0.217053226124994,0.391003389032996,"CTSF"
"14610","240460_at",-1.24878031255964,0.216938419957514,0.391003389032996,"LOC101929122"
"10578","226314_at",-1.25062422125961,0.216264578974743,0.391003389032996,"CHST14"
"7697","218660_at",-1.25129092743902,0.216021404043008,0.391003389032996,"DYSF"
"8082","219431_at",-1.25303682713525,0.215391978155813,0.391003389032996,"ARHGAP10"
"11154","227313_at",-1.25805037277563,0.213586467098362,0.391003389032996,"CNPY4"
"15415","44702_at",-1.26348268694715,0.211644124635998,0.391003389032996,"SYDE1"
"7517","218231_at",-1.26400761929085,0.211448685276258,0.391003389032996,"NAGK"
"7961","219183_s_at",-1.27045451686691,0.209168030948524,0.391003389032996,"CYTH4"
