"","PROBEID","t","p","p_adjust","SYMBOL"
"970","1568598_at",-0.800402465066811,0.426857117561536,0.426857117561536,"KAZALD1"
"15465","64432_at",-0.8189985317931,0.416252999346571,0.416306654025528,"MAPKAPK5-AS1"
"6786","214779_s_at",-0.820999333978616,0.415120654563549,0.415227685801029,"SGSM3"
"2190","203201_at",-0.826708164888449,0.411903584626861,0.4120894736793,"PMM2"
"11345","227686_at",-0.829352932527923,0.41041923929983,0.410638144154977,"OXNAD1"
"3377","205313_at",-0.830779371298411,0.409618501617183,0.409909067395076,"HNF1B"
"7408","217942_at",-0.832038147427418,0.408913228927642,0.40922968441243,"MRPS35"
"8718","221627_at",-0.836291958747769,0.406540288922374,0.406933638876179,"TRIM10"
"7530","218272_at",-0.836343833536895,0.40651008505426,0.406929654229906,"TTC38"
"11681","228361_at",-0.836407309126483,0.406475306823073,0.406921089689726,"E2F2"
