"","setname","pvalue","estimate","exp","BH"
"1","GO_MITOCHONDRIAL_GENOME_MAINTENANCE",0.0193932235149166,6.46544130798096,"UP",0.286807485560415
"2","GO_MITOCHONDRIAL_GENOME_MAINTENANCE",1,0.805667422919995,"Down",1
"3","GO_REPRODUCTION",0.890556798756878,1.01506505986572,"UP",1
"4","GO_REPRODUCTION",0.147610216992898,1.21427034273469,"Down",0.819004209049673
"5","GO_SINGLE_STRAND_BREAK_REPAIR",1,0,"UP",1
"6","GO_SINGLE_STRAND_BREAK_REPAIR",1,0,"Down",1
"7","GO_REGULATION_OF_DNA_RECOMBINATION",0.117854064707728,2.04388977200126,"UP",0.762506518811385
"8","GO_REGULATION_OF_DNA_RECOMBINATION",0.301144913689704,0.38561423560903,"Down",1
"9","GO_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"UP",1
"10","GO_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"Down",1
"11","GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.205333833472633,3.22689770553858,"UP",0.902818409074235
"12","GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.595836554507493,0,"Down",1
"13","GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"UP",1
"14","GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"Down",1
"15","GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.47665727935557,1.4517487484586,"UP",1
"16","GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.710028076581372,0.402362454293784,"Down",1
"17","GO_TRANSITION_METAL_ION_TRANSPORT",0.532323016389944,0.689201120018819,"UP",1
"18","GO_TRANSITION_METAL_ION_TRANSPORT",0.532323016389944,0.689201120018819,"Down",1
"19","GO_UREA_CYCLE",0.343466914590231,1.93549636170368,"UP",1
"20","GO_UREA_CYCLE",0.61148604295643,0,"Down",1
"21","GO_CITRULLINE_METABOLIC_PROCESS",0.313412583916227,4.83699410441435,"UP",1
"22","GO_CITRULLINE_METABOLIC_PROCESS",1,0,"Down",1
"23","GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",0.528664589866638,1.61211977828126,"UP",1
"24","GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"25","GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.528664589866638,1.61211977828126,"UP",1
"26","GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"27","GO_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.00707026554692785,2.17198965942817,"UP",0.161408696027436
"28","GO_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.000772927302057014,0.15182157475246,"Down",0.0352050391105436
"29","GO_CELL_CYCLE_CHECKPOINT",0.0013998814836444,2.44903874684468,"UP",0.053750215770137
"30","GO_CELL_CYCLE_CHECKPOINT",9.98152405621853e-05,0.0734720970622442,"Down",0.0075382524692221
"31","GO_DNA_REPLICATION_CHECKPOINT",0.00370537220262702,19.3963718138248,"UP",0.108045878321582
"32","GO_DNA_REPLICATION_CHECKPOINT",0.595836554507493,0,"Down",1
"33","GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.414498818558443,1.81534714137803,"UP",1
"34","GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.414498818558443,1.81534714137803,"Down",1
"35","GO_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.368728974100104,1.61458069925426,"UP",1
"36","GO_SULFUR_AMINO_ACID_METABOLIC_PROCESS",1,0.852816107567592,"Down",1
"37","GO_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",1,0.690445330832778,"UP",1
"38","GO_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.143676878684332,2.90578826760914,"Down",0.808827197022074
"39","GO_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.274589284938673,2.41986722137336,"UP",1
"40","GO_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",1,0.966967210565318,"Down",1
"41","GO_SULFUR_AMINO_ACID_TRANSPORT",1,0,"UP",1
"42","GO_SULFUR_AMINO_ACID_TRANSPORT",1,0,"Down",1
"43","GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.015341404315641,0.629084072933534,"UP",0.263111528730688
"44","GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.0552714806990838,1.34454389088244,"Down",0.530554559121766
"45","GO_RRNA_MODIFICATION",0.343466914590231,1.93549636170368,"UP",1
"46","GO_RRNA_MODIFICATION",0.61148604295643,0,"Down",1
"47","GO_RDNA_HETEROCHROMATIN_ASSEMBLY",0.59811040716824,0,"UP",1
"48","GO_RDNA_HETEROCHROMATIN_ASSEMBLY",0.59811040716824,0,"Down",1
"49","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.806772419534974,0.772723183912618,"UP",1
"50","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.0480106881521506,0.171878755965556,"Down",0.48799384266278
"51","GO_ACTIVATION_OF_MAPKKK_ACTIVITY",1,0,"UP",1
"52","GO_ACTIVATION_OF_MAPKKK_ACTIVITY",0.528664589866638,1.61211977828126,"Down",1
"53","GO_ACTIVATION_OF_MAPKK_ACTIVITY",0.732018134316239,1.2093089930864,"UP",1
"54","GO_ACTIVATION_OF_MAPKK_ACTIVITY",0.306939312002057,1.76102072789958,"Down",1
"55","GO_ACTIVATION_OF_MAPK_ACTIVITY",0.703054512600887,1.1168296033821,"UP",1
"56","GO_ACTIVATION_OF_MAPK_ACTIVITY",0.333469810304203,1.44219394267915,"Down",1
"57","GO_INACTIVATION_OF_MAPK_ACTIVITY",1,0.604025939023869,"UP",1
"58","GO_INACTIVATION_OF_MAPK_ACTIVITY",0.657065640702244,1.38210624613202,"Down",1
"59","GO_PROTEIN_POLYUBIQUITINATION",0.160494398569239,0.636700301109539,"UP",0.840812004513094
"60","GO_PROTEIN_POLYUBIQUITINATION",0.373043080751785,0.751780173179842,"Down",1
"61","GO_MEIOTIC_SPINDLE_ORGANIZATION",1,0,"UP",1
"62","GO_MEIOTIC_SPINDLE_ORGANIZATION",0.138486270219816,4.84083935559646,"Down",0.808827197022074
"63","GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.219297208968206,1.25655255391445,"UP",0.940445368786747
"64","GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.636999639281573,0.890859518239277,"Down",1
"65","GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",1,0,"UP",1
"66","GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",1,0,"Down",1
"67","GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY",1,0.743368386994666,"UP",1
"68","GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY",0.49172532034284,0.344743794825851,"Down",1
"69","GO_MITOCHONDRIAL_FISSION",0.135918904536607,2.07833435006958,"UP",0.808827197022074
"70","GO_MITOCHONDRIAL_FISSION",0.368728974100104,1.61458069925426,"Down",1
"71","GO_PEPTIDOGLYCAN_METABOLIC_PROCESS",1,0,"UP",1
"72","GO_PEPTIDOGLYCAN_METABOLIC_PROCESS",1,0,"Down",1
"73","GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.408073414040758,0.459446000250233,"UP",1
